gene	logFC	logCPM	PValue	FDR
Solyc00g032030	-4.05545919252947	-1.08670208777636	0.0401358414586468	0.126067055565704
Solyc00g032230	0	-1.66887626930952	1	1
Solyc00g032940	0	-1.66887626930952	1	1
Solyc00g033460	0	-1.66887626930952	1	1
Solyc00g033860	0	-1.66887626930952	1	1
Solyc00g033870	0	-1.66887626930952	1	1
Solyc00g033880	0	-1.66887626930952	1	1
Solyc00g033890	0	-1.66887626930952	1	1
Solyc00g033990	0	-1.66887626930952	1	1
Solyc00g034000	0	-1.66887626930952	1	1
Solyc00g034010	0	-1.66887626930952	1	1
Solyc00g034810	0	-1.66887626930952	1	1
Solyc00g035010	0	-1.66887626930952	1	1
Solyc00g035020	0	-1.66887626930952	1	1
Solyc00g036320	0	-1.66887626930952	1	1
Solyc00g036520	-0.711783145696962	-0.728596033680959	0.588912422540052	1
Solyc00g036530	1.90324726310835	-1.55243817593714	0.999999999999996	1
Solyc00g036540	-1.64006303273201	3.04109709031388	6.32738942895736e-07	5.83150882960197e-06
Solyc00g036740	0	-1.66887626930952	1	1
Solyc00g036750	0	-1.66887626930952	1	1
Solyc00g036760	0	-1.66887626930952	1	1
Solyc00g036960	0	-1.66887626930952	1	1
Solyc00g038390	0	-1.66887626930952	1	1
Solyc00g039290	0	-1.66887626930952	1	1
Solyc00g039990	0.28168467088394	1.94688920049166	0.494445064308635	0.968770354060994
Solyc00g040290	0	-1.66887626930952	1	1
Solyc00g040390	0	-1.66887626930952	1	1
Solyc00g040490	0	-1.66887626930952	1	1
Solyc00g041090	0.0312788226632362	-1.0843956735738	1	1
Solyc00g041190	0	-1.66887626930952	1	1
Solyc00g041200	0	-1.66887626930952	1	1
Solyc00g041210	0	-1.66887626930952	1	1
Solyc00g041220	0	-1.66887626930952	1	1
Solyc00g042120	0	-1.66887626930952	1	1
Solyc00g042130	0	-1.66887626930952	1	1
Solyc00g042140	0	-1.66887626930952	1	1
Solyc00g042640	0	-1.66887626930952	1	1
Solyc00g042840	2.99667546040492	-0.252906290135556	0.00179343385297188	0.00829800738147162
Solyc00g042850	3.86716294518853	-1.1650604116266	0.0742784528154807	0.211831143214519
Solyc00g044350	0	-1.66887626930952	1	1
Solyc00g044550	1.89228848777519	-1.5532780642627	0.999999999999993	1
Solyc00g044750	0.812579217811698	2.40728523377056	0.0669802111723055	0.194207380260554
Solyc00g045570	1.82401706692895	3.28033735641768	2.24496193941488e-09	3.04177890246042e-08
Solyc00g046570	0.0358179650860847	-1.25528301858144	1	1
Solyc00g046580	0	-1.66887626930952	1	1
Solyc00g046980	0	-1.66887626930952	1	1
Solyc00g047180	1.88583144243245	-1.55374345716886	1	1
Solyc00g047190	0	-1.66887626930952	1	1
Solyc00g047200	0.718206045881767	-0.00614778156948812	0.392194798825965	0.81496821318988
Solyc00g047700	1.12291582152371	5.91302472910653	9.0528131629403e-09	1.11441702484732e-07
Solyc00g047810	0	-1.66887626930952	1	1
Solyc00g048410	0	-1.66887626930952	1	1
Solyc00g048510	-0.810198132348325	0.995875220500013	0.204653167125981	0.490171083163249
Solyc00g049210	0.0314008894120008	0.336642019730357	1	1
Solyc00g049220	-2.65550538697847	-1.4450496027334	0.513107818008015	0.978266997202283
Solyc00g049520	0.0889786288627642	2.93167011163256	0.795831844196459	1
Solyc00g049620	0	-1.66887626930952	1	1
Solyc00g049920	0	-1.66887626930952	1	1
Solyc00g050020	0	-1.66887626930952	1	1
Solyc00g050030	0	-1.66887626930952	1	1
Solyc00g050130	-0.363915388919903	1.83970584905894	0.451395690151699	0.904445617662611
Solyc00g050430	-0.51953871474872	0.374189719736471	0.551990742861246	1
Solyc00g052430	0.316753969144751	0.730999410206519	0.661646911494482	1
Solyc00g052530	2.43368010342803	-0.551072463050813	0.0255282819444425	0.0855962775982094
Solyc00g052540	0.0344571436393095	-1.44467696907088	1	1
